"Item Key","Item Name","Supplier Key","Supplier Name","Supplier Price","MOQ","Service Level","On Hand Qty","Warehouse Qty"
"b5f391d0-7552-4565-a15a-412894b102e9","GS8YI7V8RF-127-Auto",,,4,7,41,942,118
"510151bc-b856-481e-aebb-4a9278920134","H56BIAEKRE-192-Auto",,,2,7,24,414,577
"f404fd56-cf4b-4b8e-8d7d-04744416fe17","HFLGS8QTGA-417-Auto",,,4,2,48,746,948
"031dc81c-75e7-49e4-9636-abf0c8e6d5e8","IO9JFHOTFU-334-Auto",,,1,1,84,794,918
"034cf7f3-1d36-4ea7-b5d5-b1ac899ff160","itc-test-1",,,4,1,85,0,0
"98606b04-9e29-4da3-9115-61615775edc9","item1-Auto",,,0,1,85,5,0
"32aa1ef4-e277-49b4-9551-90a5b89b83c9","item2-Auto",,,0,1,85,6,0
"aee71c2f-6d65-4ef6-b8ed-8d4079e78a42","item-3-auto",,,0,1,85,0,0
"0e608cd7-5df9-4783-b32c-6ffbfb5622ee","JWSP8QHT0Q-221-Auto",,,9,6,49,982,438
"ede7c6b5-6b48-4a9e-802e-feb83015ec4b","JXT08SXD4I-162-Auto",,,8,9,5,874,965
"3425ed44-e9c0-4031-8ec7-3e460677f295","K5UQGS7DW0-485-Auto",,,9,1,45,191,164
"d25621be-d2c5-43b1-8e06-c9ef11fec3ed","KFIYBQQFUR-347-Auto",,,2,5,7,699,564
"e5729a49-46a8-4964-9302-fb485bc4fa3f","KQ2PY9IUUX-432-Auto",,,7,6,97,780,954
"0d4d3716-e571-42ec-8444-3a4c399260a0","KWDVKQMF9O-319-Auto",,,7,9,63,220,443
"b1216cdc-2dc4-43b0-8464-b9ff9933d3d2","L02NS6Y1DG-405-Auto",,,6,1,84,550,146
"41f2d1dd-02b8-423b-89ae-132944b9dc17","LIAJGU78SA-376-Auto",,,6,6,59,579,871
"8baaf552-8379-4983-992d-9e45019a4514","M1RI3YVTH5-298-Auto",,,1,7,74,241,470
"cbd779a8-59a2-4ece-9e72-501af55f80c9","MWCHZBQD54-431-Auto",,,8,4,54,988,275
"5b3e7791-573c-406f-b33a-db28917dc87a","NQPCVWJGQB-147-Auto",,,3,6,31,605,414
"994dffd8-1cb2-4254-8005-ebc4a2ae42f6","P32AMDSOO8-289-Auto",,,4,6,93,170,810
"9b53a922-caf2-46f5-a82d-9c2c3e3a6524","PA1PR82OPA-192-Auto",,,7,7,18,813,107
"756ddb8b-ad41-4b16-9278-6cb3fb67c4d6","QIOY9RA3RS-375-Auto",,,2,5,15,163,676
"6a0952dd-24b0-4b47-9cab-f8e189f4c9e8","QKA0L50OAT-151-Auto",,,4,5,91,336,711
"f702be8e-3229-42ed-b570-aacd7ae4340a","QVJTF9FTJ8-205-Auto",,,8,8,42,964,346
"6943c601-de70-4f14-8271-6be46bf2c6c5","QZGUG3VM0Z-95-Auto",,,1,5,38,467,406
"bf74c156-9fce-4226-a07f-1884243f0505","R6LB7YBVVX-370-Auto",,,3,9,14,777,123
"313d1a58-b852-48be-a569-eaa23ae796e0","RGRSIQ34SL-90-Auto",,,2,7,2,203,394
"aed0ffad-029d-47f5-bec8-7048857f7011","RS69861EI8-34-Auto",,,6,4,72,824,896
"63d8f1f1-d4a1-488a-8f14-8c1312f196bb","RZCB3QG2Q0-27-Auto",,,5,1,58,190,603
"e212c1d2-1cc0-4a7d-b4fa-6e82e17dad9e","SUODNK5SY0-67-Auto",,,5,2,95,169,741
"d51a840a-10f6-41a9-8a45-8e9835a70e03","TBZSPDBWNQ-142-Auto",,,2,2,73,352,938
"ef4420fc-0f7d-4ce2-b446-ce2dcb23d20a","TNXPXPP4GD-184-Auto",,,3,1,27,881,867
"5e91c144-ca8d-4596-a864-6a72a9bc0714","TW54WOVK9W-378-Auto",,,4,2,21,291,651
"df19d063-a27a-4bec-adfb-1662ca4a9e09","UMSLA586LN-187-Auto",,,5,2,77,917,304
"fa509b0d-bb41-4588-88ab-c09476f41533","UOXVYAYTWC-398-Auto",,,1,5,34,201,604
"01e73d23-5003-450e-817c-b521db312a48","VG2H4Q3Y6X-116-Auto",,,6,1,1,696,333
"90098d9c-9e79-4650-bf82-a442f768c65d","VPJQ55TC8W-99-Auto",,,5,3,48,757,194
"4a6ae89f-42cf-4f59-823e-a43fab1d4a8d","WG5OZHD0ZF-118-Auto",,,1,5,60,210,371
"f453cced-2c6c-48d6-8c41-aa226c74b8ca","WH751NK88G-315-Auto",,,5,9,95,239,401
"02db5e83-9316-474d-84d6-8a3eac331b6d","WQUN33WRBT-286-Auto",,,6,8,97,722,797
"eafbae92-34ba-4076-8d3a-531c007f5d69","XDVHCPYT1E-97-Auto",,,4,8,28,969,253
"ce2a5bea-4a31-43c7-8f8c-8d73ccfaff1f","XK3394SEZQ-384-Auto",,,6,5,86,479,783
"1e252db6-03d7-473b-ac3b-38ca6928f88c","YFD2YM83PQ-91-Auto",,,2,1,85,125,222
"c3cdae90-b8d5-4783-98ee-ae97d2d48eb4","Z7E8QCZK94-401-Auto",,,5,6,1,737,733
"3a11a683-4087-4f61-a81b-8cf50de496c8","ZPJRHJ4MBE-56-Auto",,,4,5,73,825,475
"bd1caeed-1f2c-4c44-9e7c-5b7ba01d27c0",,,,7,6,41,809,921
